Totales Territoriales;Comunidades y Ciudades Autonomas;Ramas de actividad;periodo;Total
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2017;4.156.823
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2016;3.887.686
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2015;3.868.426
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2014;3.774.754
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2013;3.869.649
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2012;4.029.523
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2011;4.340.304
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2010;4.586.556
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2009;4.530.327
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2008;5.210.818
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2007;5.042.752
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2006;4.676.364
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2005;4.307.934
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2004;3.946.496
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2003;3.749.455
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2002;3.573.443
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2001;3.477.335
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2000;3.279.747
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (A);35.465.293
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021 (P);30.031.668
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;26.198.090
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;33.935.302
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;32.740.793
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;31.387.148
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;29.826.671
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;28.271.040
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;26.811.771
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;25.967.649
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;25.977.106
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;26.398.144
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;26.535.097
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;26.478.337
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;27.574.628
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;26.461.916
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;24.689.753
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;22.790.808
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;21.120.475
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;19.795.906
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;18.874.734
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;17.870.191
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;16.545.333
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2022 (A);2.236.932
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2021 (P);1.806.386
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2020;1.674.865
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2019;1.791.348
